variant,characteristic,mean_abs_grad
periodic,age,0.00015712802201354247
periodic,mispricing_mgmt,5.810262470428521e-05
periodic,mispricing_perf,0.00010046227080844497
periodic,at_gr1,1.8911978099822587e-05
periodic,sale_gr1,6.181516889531244e-05
periodic,inv_gr1a,4.9374862440648335e-05
periodic,fnl_gr1a,9.142436193845544e-05
periodic,nfna_gr1a,5.3630879604800916e-05
periodic,tax_gr1a,3.896681896852289e-05
periodic,be_gr1a,4.37524844710424e-05
periodic,ebit_sale,2.5025738041222218e-05
periodic,ope_be,5.735729309283973e-05
periodic,ni_be,1.8101108698829195e-05
periodic,ebit_bev,2.8558019433451894e-05
periodic,dbnetis_at,4.1954896065969185e-05
periodic,at_turnover,4.2650628596068914e-05
periodic,sale_bev,7.158431368831465e-05
periodic,cash_at,5.60812893794112e-05
periodic,op_atl1,2.361163401171021e-05
periodic,ocf_at,5.083922522317152e-05
periodic,op_at,2.409111527261605e-05
periodic,ocf_at_chg1,2.9064326181469375e-05
periodic,at_be,4.7986470084045635e-05
periodic,at_me,0.00010935046987772997
periodic,be_me,9.982429470255737e-05
periodic,debt_me,7.36620334040102e-05
periodic,netdebt_me,5.0008315932548914e-05
periodic,sale_me,0.00011419168400607303
periodic,ni_me,6.565709817853835e-05
periodic,ocf_me,0.00014970082927902697
periodic,bev_mev,6.150748466704197e-05
periodic,ebitda_mev,0.00011029402388279172
periodic,qmj_prof,0.00014785586419748144
periodic,qmj_safety,9.601662696998877e-05
periodic,lt_gr1,4.1511359916815606e-05
periodic,be_gr1,4.584498907812909e-05
periodic,cash_gr1a,5.354318041402924e-05
periodic,debtst_gr1a,0.00015441630605588825
periodic,ap_gr1a,5.100341188153834e-05
periodic,debtlt_gr1a,5.802468842375672e-05
periodic,fna_gr1a,0.0001293963150722751
periodic,ebitda_gr1a,1.7573974887454827e-05
periodic,ebit_gr1a,4.3675163612230485e-05
periodic,ni_gr1a,2.2359333371847838e-05
periodic,nix_gr1a,2.6277875173642926e-05
periodic,dp_gr1a,3.5487465981229136e-05
periodic,ocf_gr1a,3.5732565735694764e-05
periodic,dltnetis_gr1a,6.402428150977356e-05
periodic,dbnetis_gr1a,4.960690948792033e-05
periodic,xido_at,3.968795348555431e-05
periodic,ebitda_sale,3.083277370024006e-05
periodic,pi_sale,2.5568361458378304e-05
periodic,ni_sale,2.689436394575751e-05
periodic,nix_sale,2.340786744146802e-05
periodic,ocf_sale,5.0639365884611224e-05
periodic,ebitda_at,2.9508570257045604e-05
periodic,ebit_at,3.49784919975112e-05
periodic,fi_at,3.080456050762829e-05
periodic,ni_at,3.4112374669348364e-05
periodic,nix_be,2.3393108058371588e-05
periodic,ocf_be,8.644192672363715e-05
periodic,ebitda_bev,6.35061333256696e-05
periodic,fi_bev,5.464644234962179e-05
periodic,ebitda_ppen,4.8470432866452035e-05
periodic,dltnetis_at,5.1452152650502585e-05
periodic,dstnetis_at,5.728264609084967e-05
periodic,be_bev,4.250440465208764e-05
periodic,debt_bev,2.752762932686893e-05
periodic,cash_bev,4.27127949842543e-05
periodic,debtlt_bev,5.600320874388371e-05
periodic,debtst_bev,2.7428285126613145e-05
periodic,ebitda_debt,4.640813279668995e-05
periodic,ocf_debt,6.944624220826276e-05
periodic,cash_lt,5.693349376088009e-05
periodic,debtst_debt,6.802394986152648e-05
periodic,debtlt_debt,6.409138196128575e-05
periodic,lt_ppen,2.5114718500844904e-05
periodic,debtlt_be,4.313309743641486e-05
periodic,debt_at,4.2846644531285456e-05
periodic,debt_be,2.9182602838773173e-05
periodic,ebit_int,4.312404232526508e-05
periodic,sale_be,5.2177047867492866e-05
periodic,cash_me,0.0001198479395558631
periodic,ebitda_me,0.0001249553204252152
periodic,ebit_me,6.405344522742476e-05
periodic,ope_me,0.00012401824307744396
periodic,nix_me,6.06693227988823e-05
periodic,at_mev,0.00010720133321835117
periodic,ppen_mev,0.00010090191758839257
periodic,be_mev,6.549314482981571e-05
periodic,cash_mev,3.8450184886945265e-05
periodic,sale_mev,0.00010026380667113696
periodic,ebit_mev,4.847097160867027e-05
periodic,ocf_mev,0.0001371918799607859
periodic,debt_mev,8.892624915461058e-05
periodic,debtlt_mev,3.461970689386362e-05
periodic,debtst_mev,8.613739360346999e-05
periodic,dltnetis_mev,3.694100831732308e-05
periodic,dstnetis_mev,6.192756446277296e-05
periodic,dbnetis_mev,2.947474725563855e-05
ple,market_equity,0.0003981031404570483
ple,chcsho_1m,0.0001538472788767346
ple,chcsho_3m,0.00018823989261060588
ple,chcsho_6m,0.00022340184449907
ple,chcsho_12m,0.00026434984377222764
ple,eqnpo_1m,0.00011772516768663387
ple,eqnpo_3m,0.00010347816107696413
ple,eqnpo_6m,9.207781993306222e-05
ple,eqnpo_12m,0.00020401983392730465
ple,ret_1_0,0.00011172485110667665
ple,ret_3_1,0.00012028077550591355
ple,ret_6_1,0.000127015887513456
ple,ret_9_1,0.00014933741422889092
ple,ret_12_1,9.484717500223874e-05
ple,ret_12_7,0.00012467456380666896
ple,ret_2_0,0.0001248251083385791
ple,ret_3_0,0.00012919119010499952
ple,ret_6_0,0.00013399226098044888
ple,ret_9_0,0.00013588252981814247
ple,ret_12_0,0.00010826946634551863
ple,ret_18_1,0.00011025091850266716
ple,ret_24_1,9.506943154822998e-05
ple,ret_24_12,0.00011442656348056817
ple,ret_36_1,0.0001722024113708661
