n_firms,b1_base,r2_base,b1_full,b2_full,r2_full,corr_base_path2,rank_corr_base_path2,rank_corr_base,rank_corr_path2,rank_corr_combined,entropy_ratio,missingness_excess,variant,eom,split,vol_regime,period
15153,0.05004222484807653,0.0362507539060819,0.04969588274962273,0.0008617980408586691,0.03625976863532965,0.4018831350650904,0.642289141764966,0.21207826752661965,0.16317353178119953,0.17767637019894492,0.9989436523033735,-0.0005358037073470131,per_feature,2018-05-31,val,low,early
15154,0.04013417891768972,0.02151808278889844,0.037678094656035624,0.00670885035934015,0.022038768521463914,0.3660961461497983,0.6126845474782333,0.15775165401461777,0.1403265598213168,0.14808982152264774,0.998970106039106,-0.0004783505654397102,per_feature,2018-06-30,val,low,early
15108,0.037721301574969716,0.018847713404823718,0.02900414510862087,0.020735224664605305,0.023536283422569082,0.4204032802796054,0.645072463631814,0.16659379698589416,0.18164641493402292,0.18591923426522855,0.9989651401377075,-0.00044434647825600536,per_feature,2018-07-31,val,low,early
15191,0.009502780360187294,0.0010385882130123925,-0.005072848940897548,0.03573116091053583,0.013278902187442432,0.4079248736853502,0.63514579512299,0.0025173056938169627,0.08939721049400934,0.08640756129993038,0.9989972496609005,-0.0004606689051326599,per_feature,2018-08-31,val,low,early
15348,-0.015036544294110743,0.002289827240772202,-0.02670458288697107,0.028824746418603737,0.009325704341470176,0.4047924107776947,0.6382441481114307,-0.098243929391272,0.011876321592487818,0.0006577235953267502,0.9989966555214681,-0.0005036402340251539,per_feature,2018-09-30,val,low,early
15387,-0.021823761567727945,0.004149623019451543,-0.03495998466434488,0.035492199792674574,0.013621439194608231,0.370115776799706,0.606978978165139,-0.09505506235110263,0.03779687334814315,0.022550885000741268,0.9990094501420842,-0.00045801153612499897,per_feature,2018-10-31,val,low,early
15450,-0.0053207912404646335,0.0002959959890470598,-0.01370371290554918,0.023352360500212256,0.005262848575544377,0.3589753449119625,0.6041278890767953,-0.06223248107168762,0.051765219907353534,0.04012099082137581,0.9990000858723883,-0.0005016135766241472,per_feature,2018-11-30,val,low,early
15458,-0.01342484561742403,0.0016561511890077485,-0.020683815507221585,0.018686345158670844,0.004380651229667798,0.3884638664302113,0.624673034822938,-0.0712039725052712,0.013911113065592996,0.0037627590683030824,0.9990011496208752,-0.0004275400177199054,per_feature,2018-12-31,val,low,early
15520,-0.01561915923453846,0.0022834390785765324,-0.022467170427188765,0.017795947128927674,0.0048087615152767604,0.3848073464720923,0.6191131620149766,-0.10989814845282275,-0.014099397321685218,-0.025611642858569438,0.9989906285634887,-0.0005309851488202418,per_feature,2019-01-31,val,low,early
15482,0.01142039266927565,0.0014606972576099997,0.006728400090724352,0.011980162366446378,0.002821541311779474,0.3916468270652067,0.631551730566499,0.02907725748696397,0.06677740402135281,0.06690128698824181,0.9989896452073579,-0.000580559641520602,per_feature,2019-02-28,val,low,early
15554,0.018088967366736812,0.003668093897758906,0.01318537779830283,0.014350180959548502,0.0057070309395304,0.34170924967773847,0.5755266703381948,0.08159988845093943,0.08426744665097291,0.09560864497381047,0.9989439542809869,-0.0005930196133199011,per_feature,2019-03-31,val,low,early
15576,0.006920941655573602,0.0005082057493622782,-0.0014196358871618451,0.0241812174331823,0.005974039606814974,0.3449196702262908,0.5939275533317916,0.014086102138890435,0.09866931397373424,0.0932488933495598,0.998874540694843,-0.0005709357016483563,per_feature,2019-04-30,val,low,early
15583,-0.0014300262090244742,1.8999854562440355e-05,-0.010622995317465652,0.02757744891325821,0.006299759808782279,0.33335096140847315,0.5805770073475042,-0.002879999667539938,0.08881155998775304,0.07897532127177848,0.9989124348317047,-0.0005266509426784847,per_feature,2019-05-31,val,low,mid
15552,-0.00929775782328075,0.0007491423312625534,-0.0206537806006252,0.0326386451764552,0.00886310606236873,0.34793180648074223,0.5868408994061546,-0.047291850847828915,0.08178050609503117,0.06204748719655211,0.998920104610427,-0.0005504396827744093,per_feature,2019-06-30,val,low,mid
15590,-0.005604405840426257,0.00025530577693333445,-0.018912812685888344,0.0371507662473179,0.010034224744947862,0.35822698129149555,0.5925531381076824,-0.03667189610889604,0.09749320576801121,0.07796070618788582,0.9989183884058086,-0.0005750676220461639,per_feature,2019-07-31,val,low,mid
15606,-0.00594147738237588,0.00027004211430936564,-0.013699506949329216,0.019592953240627077,0.0027462152134118956,0.3959601940383034,0.6291786680053566,-0.0664655955160256,0.03665040226579134,0.020853168961596103,0.9989228469087537,-0.00058083153225428,per_feature,2019-08-31,val,low,mid
15634,0.0014763631095529983,1.8548969926479586e-05,0.003747507354042642,-0.006042083432581875,0.00028532857861740535,0.3758876006642484,0.6108095244965907,-0.10566753559946249,-0.04115845046050637,-0.04379912507202672,0.9989194476097011,-0.0006214561343688404,per_feature,2019-09-30,val,low,mid
15681,-0.0036498872995404472,0.00010722411250307928,-0.006497720499384133,0.007416225272760922,0.0004846364020069105,0.38400036340583027,0.6121662760950859,-0.08373621138376416,-0.007132548914535638,-0.015134299517724516,0.9988994365267782,-0.0006364588833258769,per_feature,2019-10-31,val,low,mid
15729,-0.010742898917971599,0.0008056807938936483,-0.00816230527090643,-0.006630918215751932,0.001066140636760915,0.3891759124597963,0.6227927226124083,-0.10903016966941692,-0.04267438069199469,-0.04890636509137481,0.9989151985072909,-0.0006512624140014308,per_feature,2019-11-30,val,high,mid
