variant,trial_number,n_epochs_trained,best_epoch,best_epoch_fraction,final_gap_loss,mean_gap_loss_last_quarter
ple,17,16,8,0.5,0.04918968610110719,0.10022000444772095
ple,18,14,5,0.35714285714285715,0.9600901126643524,0.9520224932582418
ple,19,6,1,0.16666666666666666,0.17242572596148809,0.17242572596148809
ple,20,14,2,0.14285714285714285,1.2812113893951942,1.3701176243997732
ple,21,21,3,0.14285714285714285,0.014740708170990935,-0.006637483213525553
ple,22,14,1,0.07142857142857142,0.6743172811432965,0.7386872726320114
ple,23,14,6,0.42857142857142855,0.5679106342775326,0.4868737605120433
ple,24,16,8,0.5,0.27602228359097514,0.12084179431147363
ple,25,14,5,0.35714285714285715,1.0504559299557485,1.054652472186394
ple,26,16,2,0.125,1.3020933987787142,1.4028700258663789
ple,27,6,1,0.16666666666666666,0.49889005908358197,0.49889005908358197
ple,28,15,2,0.13333333333333333,0.5704952277827062,0.6453255753263231
ple,29,6,1,0.16666666666666666,0.13295579107980893,0.13295579107980893
ple,30,29,21,0.7241379310344828,0.7811125238478694,0.6656085290020963
ple,31,6,1,0.16666666666666666,1.2813423974173408,1.2813423974173408
ple,32,17,2,0.11764705882352941,0.8699709117437517,0.9178273845132878
ple,33,18,2,0.1111111111111111,1.3443458412773908,1.384460218745378
ple,34,20,1,0.05,1.1462112199202816,0.9387876271900708
ple,35,16,1,0.0625,0.8867185274684163,0.8849024816647185
ple,36,17,9,0.5294117647058824,0.6680525230679897,0.37987345175388904
ple,37,17,3,0.17647058823529413,0.4852546633871655,0.07815609626949671
ple,38,18,10,0.5555555555555556,-0.053852801651708804,-0.04620785810615097
ple,39,18,3,0.16666666666666666,1.86520547501,1.5723147725746196
ple,40,14,6,0.42857142857142855,1.548897290162535,1.1745825249739927
ple,41,15,7,0.4666666666666667,1.3680752505851348,1.0704060204500807
ple,42,18,10,0.5555555555555556,0.8205460376244793,0.682998732254251
ple,43,36,28,0.7777777777777778,0.6160129369676322,0.5874590014418107
ple,44,16,8,0.5,1.5239040372153148,1.4538870029444326
ple,45,14,6,0.42857142857142855,1.1497508891871095,1.3538604041369924
ple,46,6,3,0.5,0.6838810263837259,0.6838810263837259
ple,47,14,6,0.42857142857142855,0.5678138075616315,0.525855576223817
ple,48,6,2,0.3333333333333333,0.5571522074330243,0.5571522074330243
ple,49,20,12,0.6,1.0286254190218946,1.0393023090758398
ple,50,25,17,0.68,0.7961155945752075,0.7663748232074709
